2025-05-20 12:05:48,085 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.16, 'fee_tier': 'VIP1'}
2025-05-20 12:05:48,388 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.17, 'fee_tier': 'VIP1'}
2025-05-20 12:05:48,546 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.18, 'fee_tier': 'VIP1'}
2025-05-20 12:05:48,749 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.19, 'fee_tier': 'VIP1'}
2025-05-20 12:05:48,973 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.2, 'fee_tier': 'VIP1'}
2025-05-20 12:05:49,273 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.21, 'fee_tier': 'VIP1'}
2025-05-20 12:05:49,849 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.22, 'fee_tier': 'VIP1'}
2025-05-20 12:05:50,045 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.23, 'fee_tier': 'VIP1'}
2025-05-20 12:05:50,218 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.24, 'fee_tier': 'VIP1'}
2025-05-20 12:05:50,436 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:05:58,079 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:05:58,762 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:01,359 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:01,802 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:02,004 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:02,199 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:02,408 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:02,603 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:02,807 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:03,016 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.25, 'fee_tier': 'VIP1'}
2025-05-20 12:11:05,344 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.24, 'fee_tier': 'VIP1'}
2025-05-20 12:11:05,604 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.23, 'fee_tier': 'VIP1'}
2025-05-20 12:11:05,821 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.22, 'fee_tier': 'VIP1'}
2025-05-20 12:11:06,009 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.21, 'fee_tier': 'VIP1'}
2025-05-20 12:11:06,219 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.2, 'fee_tier': 'VIP1'}
2025-05-20 12:11:06,444 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.19, 'fee_tier': 'VIP1'}
2025-05-20 12:11:06,698 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP1'}
2025-05-20 12:11:13,347 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'BTC-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP1'}
2025-05-20 12:11:15,674 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP1'}
2025-05-20 12:11:28,623 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:30,495 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:30,744 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:30,957 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:31,171 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:31,366 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:31,559 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:31,757 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:31,958 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:32,163 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:32,387 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:32,590 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:32,799 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:33,264 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:33,505 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:34,697 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:35,789 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:35,792 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:36,062 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:11:36,287 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ADA-USDT', 'order_type': 'Market', 'quantity': 110.0, 'volatility': 0.18, 'fee_tier': 'VIP3'}
2025-05-20 12:18:58,382 - ui_app - INFO - Reconnect button clicked
2025-05-20 12:19:12,989 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'BTC-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:19:18,119 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'BTC-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:08,892 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:17,043 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:18,341 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:23,739 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:26,896 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP0'}
2025-05-20 12:21:31,162 - ui_app - INFO - Reconnect button clicked
2025-05-20 12:22:08,192 - ui_app - INFO - Reconnect button clicked
